date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,HI,445,445,1,,2226,2226,27,0,,5,,0,,,,,3,28699,27891,53,0,,,,,27774,,1146796,5117,1146796,5117,,,,,,0,,0
3/7/2021,IA,5558,,6,,,,167,0,,35,1044418,1299,,93984,2432425,,6,282384,282384,257,0,,60700,19704,57190,306343,320054,,0,1326802,1556,,1390094,113739,247999,1329195,1555,2753899,4464
3/7/2021,ID,1879,1652,3,227,7184,7184,150,5,1245,33,505964,535,,,,,,172931,139874,104,0,,,,,,96017,,0,645838,396,,123809,,,645838,396,1103725,877
3/7/2021,IL,23014,20763,12,2251,,,1141,0,,255,,0,,,,,112,1198335,,1068,0,,,,,,,,0,18640190,68094,,,,,,0,18640190,68094
3/7/2021,IN,12737,12310,11,427,43217,43217,656,64,7600,104,2483156,4643,,,,,50,667262,,746,0,,,,,760491,,,0,8242367,29427,,,,,3150418,5389,8242367,29427
3/7/2021,KS,4812,,0,,9387,9387,235,0,2554,50,974686,0,,,,411,22,295861,,0,0,,,,,,,,0,1270547,0,,602322,,,1270547,0,2525259,0
3/7/2021,KY,4819,4369,13,450,19457,19457,558,6,4034,156,,0,,,,,82,410709,314385,525,0,9929,37655,,,251921,48145,,0,3975672,0,111886,509047,,,,0,3975672,0
3/7/2021,LA,9748,9033,32,715,,,532,0,,,5261679,20578,,,,,75,433785,372514,740,0,,,,,,415954,,0,5695464,21318,,469967,,,,0,5634193,21098
3/7/2021,MA,16417,16085,43,332,19713,19713,665,0,,174,4404792,8028,,,,,116,591356,559083,1425,0,,,15425,,668145,508745,,0,16825551,96578,,,156185,580372,4963875,9309,16825551,96578
3/7/2021,MD,7955,7773,14,182,35651,35651,818,79,,215,3034546,2050,,169779,,,,387319,387319,709,0,,,28360,,472716,9703,,0,8097590,33128,,,198139,,3421865,2759,8097590,33128
3/7/2021,ME,706,683,2,23,1570,1570,67,4,,16,,0,14232,,,,8,45794,35846,159,0,869,10749,,,41510,12840,,0,1660180,7490,15113,213426,,,,0,1660180,7490
3/7/2021,MI,16658,15666,0,992,,,866,0,,222,,0,,,9869602,,97,656072,596054,0,0,,,,,752365,549881,,0,10621967,0,537073,,,,,0,10621967,0
3/7/2021,MN,6550,6276,4,274,25978,25978,224,2,5364,57,3058514,8218,,,,,,490011,465547,895,0,,,,,,476055,7111428,25369,7111428,25369,,451963,,,3524061,8998,,0
3/7/2021,MO,8161,,0,,,,955,0,,197,1878583,2950,127001,,4025535,,135,480643,480643,291,0,24926,83657,,,530741,,,0,4565866,10659,152126,906752,135759,366813,2359226,3241,4565866,10659
3/7/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,145,145,1,0,,,,,,29,,0,17574,1,,,,,17542,0,26131,0
3/7/2021,MS,6808,4737,3,2071,9162,9162,419,0,,89,1459374,0,,,,,47,297581,184278,260,0,,,,,,278162,,0,1756955,260,81986,748339,,,,0,1642348,0
3/7/2021,MT,1381,,0,,4630,4630,63,1,,12,,0,,,,,6,100914,95390,72,0,,,,,,97943,,0,1104488,3132,,,,,,0,1104488,3132
3/7/2021,NC,11502,10169,0,1333,,,1179,0,,309,,0,,,,,,872176,759617,0,0,,,,,,,,0,9688838,0,,805924,,,,0,9688838,0
3/7/2021,ND,1478,,0,,3880,3880,23,2,567,3,305912,-109,,,,,,100391,94928,34,0,,,,,,98326,1425146,679,1425146,679,,156698,,,406303,-75,1536487,881
3/7/2021,NE,2113,,0,,6237,6237,137,8,,,771128,542,,,2182938,,,203026,,373,0,,,,,235965,157144,,0,2421684,1,,,,,974759,978,2421684,1
3/7/2021,NH,1184,,3,,1131,1131,68,4,348,,579582,396,,,,,,76861,54064,166,0,,,,,,73615,,0,1497185,15697,39545,205103,37918,,633646,521,1497185,15697
3/7/2021,NJ,23574,21177,17,2397,64396,64396,1792,58,,376,10186941,0,,,,,232,812609,720939,2519,0,,,,,,,,0,10999550,2519,,,,,,0,10902830,0
3/7/2021,NM,3808,,12,,13252,13252,169,10,,,,0,,,,,,186922,,180,0,,,,,,156554,,0,2783542,11702,,,,,,0,2783542,11702
3/7/2021,NV,5037,,1,,,,399,0,,87,1131758,1829,,,,,48,296190,296190,730,0,,,,,,,2770192,6201,2770192,6201,,,,,1427948,2059,,0
3/7/2021,NY,39029,,59,,,,4789,0,,999,,0,,,,,682,1681169,,6789,0,,,,,,,39695100,227768,39695100,227768,,,,,,0,,0
3/7/2021,OH,17656,14752,0,2594,50881,50881,820,33,7207,260,,0,,,,,171,978471,836358,735,0,,86990,,,864925,925655,,0,10257157,29289,,1798150,,,,0,10257157,29289
3/7/2021,OK,4534,,0,,24332,24332,346,55,,100,3146300,0,,,3146300,,,428997,,461,0,23139,,,,389855,412177,,0,3575297,461,152279,,,,,0,3548479,0
3/7/2021,OR,2296,,3,,8714,8714,158,0,,32,,0,,,3624001,,12,157079,,195,0,,,,,226972,,,0,3850973,0,,,,,,0,3850973,0
3/7/2021,PA,24349,,32,,,,1587,0,,314,3942124,6592,,,,,183,948643,814540,1658,0,,,,,,861756,10681716,52432,10681716,52432,,,,,4756664,8073,,0
3/7/2021,PR,2062,1752,3,310,,,134,0,,21,305972,0,,,395291,,19,101632,93620,305,0,85241,,,,20103,91987,,0,407604,305,,,,,,0,415664,0
3/7/2021,RI,2547,,0,,9020,9020,141,0,,25,677570,1421,,,2970088,,16,128781,,265,0,,,,,153260,,3123348,13513,3123348,13513,,,,,806351,1686,,0
3/7/2021,SC,8754,7744,35,1010,20725,20725,579,66,,137,4657179,25856,106809,,4526263,,83,525865,449977,1408,0,28316,111239,,,580893,218863,,0,5183044,27264,135125,912838,,,,0,5107156,26282
3/7/2021,SD,1900,,2,,6705,6705,72,13,,9,314540,524,,,,,6,113589,100690,211,0,,,,,105096,109531,,0,701924,1275,,,,,428129,735,701924,1275
3/7/2021,TN,11543,9278,0,2265,18870,18870,851,0,,218,,0,,,6119050,,127,782206,653905,0,0,,140582,,,753695,756793,,0,6872745,0,,1430665,,,,0,6872745,0
3/7/2021,TX,44451,,84,,,,4721,0,,1463,,0,,,,,,2686818,2320857,2953,0,159003,211014,,,2628176,2502609,,0,19907384,76040,1033285,2664340,,,,0,19907384,76040
3/7/2021,UT,1976,,1,,14891,14891,212,24,2344,73,1560293,3204,,,2564131,822,,374850,,412,0,,60158,,57683,345990,358958,,0,2910121,6828,,1002177,,371319,1876802,3460,2910121,6828
3/7/2021,VA,9596,8104,77,1492,24661,24661,1127,24,,258,,0,,,,,168,585700,461172,1163,0,28980,125061,,,562266,,6038209,19925,6038209,19925,224284,1454389,,,,0,,0
3/7/2021,VI,25,25,0,,,,,0,,,46167,0,,,,,,2714,,0,0,,,,,,2559,,0,48881,0,,,,,48961,0,,0
3/7/2021,VT,208,,0,,,,31,0,,1,320060,643,,,,,,16083,15635,119,0,,,,,,13384,,0,1124215,8748,,,,,335695,759,1124215,8748
3/7/2021,WA,5041,,0,,19599,19599,431,43,,98,,0,,,5068404,,43,344532,325053,664,0,,,,,324994,,5393756,24040,5393756,24040,,,,,,0,,0
3/7/2021,WI,7106,6481,4,625,26457,26457,249,25,2273,66,2647864,3521,,,,,,621654,566693,377,0,,,,,,553203,7080595,19193,7080595,19193,,,,,3214557,3850,,0
3/7/2021,WV,2325,1981,2,344,,,179,0,,40,,0,,,,,26,133445,106629,155,0,,,,,,125383,,0,2236551,6449,33011,,,,,0,2236551,6449
3/7/2021,WY,682,,0,,1391,1391,21,0,,,182264,0,,,602513,,,54764,46397,0,0,,,,,38993,53550,,0,649293,0,,,,,228661,0,649293,0
3/6/2021,AK,305,,0,,1293,1293,33,0,,,,0,,,1660758,,2,56886,,0,0,,,,,68693,,,0,1731628,0,,,,,,0,1731628,0
3/6/2021,AL,10149,7963,27,2186,45976,45976,526,0,2675,,1929624,4866,,,,1514,,499411,391817,524,0,,,,,,295690,,0,2321441,5314,,,119456,,2321441,5314,,0
3/6/2021,AR,5297,4302,14,995,14915,14915,345,12,,148,2477449,4711,,,2477449,1533,75,324653,255613,327,0,,,,81756,,315181,,0,2733062,4959,,,,479963,,0,2733062,4959
3/6/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
3/6/2021,AZ,16323,14395,54,1928,57863,57863,966,44,,280,3059332,8442,,,,,140,825119,768757,1735,0,,,,,,,,0,7862995,35425,580318,,443336,,3828089,9639,7862995,35425
3/6/2021,CA,53866,,418,,,,4513,0,,1221,,0,,,,,,3497578,3497578,4452,0,,,,,,,,0,49512828,218325,,,,,,0,49512828,218325
3/6/2021,CO,5986,5251,0,735,23886,23886,326,23,,,2199458,5505,368326,,,,,435762,410976,1108,0,62612,,,,,,6376960,33600,6376960,33600,433082,,,,2610434,6427,,0
3/6/2021,CT,7704,6327,0,1377,,,428,0,,,,0,,,6188566,,,285330,265709,0,0,,22245,,,323284,,,0,6520366,0,,396680,,,,0,6520366,0
3/6/2021,DC,1030,,3,,,,150,0,,40,,0,,,,,15,41273,,151,0,,,,,,29470,1255637,8000,1255637,8000,,,,,440793,1280,,0
3/6/2021,DE,1464,1328,11,136,,,114,0,,12,544153,1362,,,,,,88139,83424,265,0,,,,,91685,,1426075,8757,1426075,8757,,,,,632292,1627,,0
3/6/2021,FL,32200,,107,,82145,82145,3352,243,,,9319872,23282,864153,816231,16841086,,,1905185,1545643,4587,0,190026,,178979,,2496909,,22274583,87820,22274583,87820,1054711,,995580,,11225057,27869,19430475,59303
3/6/2021,GA,17905,15597,90,2308,56762,56762,2071,135,9260,,,0,,,,,,1021778,827397,2269,0,77793,168005,,,802411,,,0,7340242,24765,481545,1478232,,,,0,7340242,24765
3/6/2021,GU,133,,0,,,,2,0,,1,112887,0,,,,,1,7749,7540,1,0,27,248,,,,7590,,0,120636,1,358,9299,,,,0,120426,0
3/6/2021,HI,444,444,1,,2226,2226,27,1,,5,,0,,,,,3,28646,27838,85,0,,,,,27726,,1141679,5284,1141679,5284,,,,,,0,,0
3/6/2021,IA,5552,,3,,,,170,0,,38,1043119,1515,,93873,2428315,,10,282127,282127,362,0,,60633,19635,57133,306056,319780,,0,1325246,1877,,1388623,113559,247775,1327640,1871,2749435,7094
3/6/2021,ID,1876,1649,0,227,7179,7179,150,15,1245,33,505429,504,,,,,,172827,140013,240,0,,,,,,95808,,0,645442,646,,123809,,,645442,646,1102848,2572
3/6/2021,IL,23002,20750,56,2252,,,1210,0,,261,,0,,,,,108,1197267,,2565,0,,,,,,,,0,18572096,79248,,,,,,0,18572096,79248
3/6/2021,IN,12726,12299,29,427,43153,43153,663,49,7586,118,2478513,5155,,,,,60,666516,,1231,0,,,,,759598,,,0,8212940,41718,,,,,3145029,6386,8212940,41718
3/6/2021,KS,4812,,0,,9387,9387,235,0,2554,50,974686,0,,,,411,22,295861,,0,0,,,,,,,,0,1270547,0,,602322,,,1270547,0,2525259,0
3/6/2021,KY,4806,4356,52,450,19451,19451,591,71,4034,171,,0,,,,,72,410184,313998,839,0,9929,37655,,,251921,48131,,0,3975672,5773,111886,509047,,,,0,3975672,5773
3/6/2021,LA,9716,9007,0,709,,,538,0,,,5241101,0,,,,,77,433045,371994,0,0,,,,,,415954,,0,5674146,0,,466494,,,,0,5613095,0
3/6/2021,MA,16374,16044,52,330,19713,19713,687,0,,176,4396764,7826,,,,,114,589931,557802,1722,0,,,15425,,666605,508745,,0,16728973,100359,,,156185,578153,4954566,9321,16728973,100359
3/6/2021,MD,7941,7759,11,182,35572,35572,830,194,,230,3032496,7547,,169779,,,,386610,386610,932,0,,,28360,,471762,9703,,0,8064462,40384,,,198139,,3419106,8479,8064462,40384
3/6/2021,ME,704,681,0,23,1566,1566,74,6,,20,,0,14232,,,,9,45635,35759,183,0,869,10646,,,41390,12838,,0,1652690,8103,15113,210929,,,,0,1652690,8103
3/6/2021,MI,16658,15666,57,992,,,866,0,,222,,0,,,9869602,,97,656072,596054,1692,0,,,,,752365,549881,,0,10621967,37232,537073,,,,,0,10621967,37232
3/6/2021,MN,6546,6272,12,274,25976,25976,224,38,5364,57,3050296,6988,,,,,,489116,464767,946,0,,,,,,475170,7086059,28026,7086059,28026,,448578,,,3515063,7786,,0
3/6/2021,MO,8161,,3,,,,1001,0,,198,1875633,3308,126755,,4015210,,136,480352,480352,386,0,24832,83481,,,530416,,,0,4555207,14140,151786,900275,135520,364697,2355985,3694,4555207,14140
3/6/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,144,144,0,0,,,,,,29,,0,17573,0,,,,,17542,0,26131,0
3/6/2021,MS,6805,4734,22,2071,9162,9162,419,0,,89,1459374,0,,,,,47,297321,184157,576,0,,,,,,278162,,0,1756695,576,81986,748339,,,,0,1642348,0
3/6/2021,MT,1381,,2,,4629,4629,63,19,,12,,0,,,,,6,100842,95336,186,0,,,,,,97801,,0,1101356,4443,,,,,,0,1101356,4443
3/6/2021,NC,11502,10169,56,1333,,,1179,0,,309,,0,,,,,,872176,759617,2027,0,,,,,,,,0,9688838,38654,,805924,,,,0,9688838,38654
3/6/2021,ND,1478,,0,,3878,3878,21,3,567,3,306021,111,,,,,,100357,94906,79,0,,,,,,98240,1424467,1930,1424467,1930,,156289,,,406378,190,1535606,2599
3/6/2021,NE,2113,,1,,6229,6229,136,3,,,770586,1354,,,2183243,,,202653,,343,0,,,,,235726,156825,,0,2421683,10138,,,,,973781,1701,2421683,10138
3/6/2021,NH,1181,,3,,1127,1127,90,1,348,,579186,1496,,,,,,76695,53939,273,0,,,,,,73327,,0,1481488,0,39484,201268,37902,,633125,1680,1481488,0
3/6/2021,NJ,23557,21160,36,2397,64338,64338,1862,-916,,382,10186941,0,,,,,233,810090,718873,3720,0,,,,,,,,0,10997031,3720,,,,,,0,10902830,0
3/6/2021,NM,3796,,9,,13242,13242,148,13,,,,0,,,,,,186742,,282,0,,,,,,155000,,0,2771840,13846,,,,,,0,2771840,13846
3/6/2021,NV,5036,,16,,,,399,0,,87,1129929,2551,,,,,48,295460,295960,0,0,,,,,,,2763991,9659,2763991,9659,,,,,1425889,3051,,0
3/6/2021,NY,38970,,79,,,,4954,0,,1012,,0,,,,,694,1674380,,7647,0,,,,,,,39467332,273132,39467332,273132,,,,,,0,,0
3/6/2021,OH,17656,14752,0,2594,50848,50848,922,66,7205,273,,0,,,,,188,977736,835856,1506,0,,86651,,,863985,923986,,0,10227868,40190,,1787169,,,,0,10227868,40190
3/6/2021,OK,4534,,0,,24277,24277,346,120,,100,3146300,11240,,,3146300,,,428536,,978,0,23139,,,,389855,411624,,0,3574836,12218,152279,,,,,0,3548479,11750
3/6/2021,OR,2293,,9,,8714,8714,158,15,,32,,0,,,3624001,,12,156884,,211,0,,,,,226972,,,0,3850973,52906,,,,,,0,3850973,52906
3/6/2021,PA,24317,,55,,,,1513,0,,314,3935532,9494,,,,,171,946985,813059,2789,0,,,,,,859218,10629284,0,10629284,0,,,,,4748591,11534,,0
3/6/2021,PR,2059,1749,3,310,,,147,0,,24,305972,0,,,395291,,18,101327,93336,261,0,84115,,,,20103,91987,,0,407299,261,,,,,,0,415664,0
3/6/2021,RI,2547,,6,,9020,9020,141,0,,25,676149,1634,,,2956871,,16,128516,,395,0,,,,,152964,,3109835,21854,3109835,21854,,,,,804665,2029,,0
3/6/2021,SC,8719,7711,20,1008,20659,20659,623,54,,157,4631323,27774,106601,,4501627,,86,524457,449151,1199,0,28174,110613,,,579247,218863,,0,5155780,28973,134775,902974,,,,0,5080874,29050
3/6/2021,SD,1898,,2,,6692,6692,74,11,,10,314016,756,,,,,7,113378,100533,149,0,,,,,105003,109371,,0,700649,2193,,,,,427394,905,700649,2193
3/6/2021,TN,11543,9278,9,2265,18870,18870,879,33,,223,,0,,,6119050,,127,782206,653905,1312,0,,140582,,,753695,756793,,0,6872745,16164,,1430665,,,,0,6872745,16164
3/6/2021,TX,44367,,233,,,,4921,0,,1503,,0,,,,,,2683865,2318522,5570,0,157037,211546,,,2622781,2491753,,0,19831344,11292,1025375,2630435,,,,0,19831344,11292
3/6/2021,UT,1975,,5,,14867,14867,216,26,2344,77,1557089,3556,,,2557616,822,,374438,,570,0,,60002,,57529,345677,358249,,0,2903293,8211,,1000187,,370352,1873342,3904,2903293,8211
3/6/2021,VA,9519,8090,91,1429,24637,24637,1164,123,,263,,0,,,,,160,584537,460273,1477,0,28805,124666,,,561305,,6018284,21456,6018284,21456,223817,1449641,,,,0,,0
3/6/2021,VI,25,25,0,,,,,0,,,46167,0,,,,,,2714,,0,0,,,,,,2559,,0,48881,0,,,,,48961,0,,0
3/6/2021,VT,208,,1,,,,26,0,,2,319417,697,,,,,,15964,15519,145,0,,,,,,13305,,0,1115467,8171,,,,,334936,840,1115467,8171
3/6/2021,WA,5041,,9,,19556,19556,431,56,,98,,0,,,5044931,,30,343868,324469,778,0,,,,,324428,,5369716,25314,5369716,25314,,,,,,0,,0
3/6/2021,WI,7102,6478,8,624,26432,26432,260,45,2271,77,2644343,2161,,,,,,621277,566364,614,0,,,,,,552642,7061402,24321,7061402,24321,,,,,3210707,2367,,0
3/6/2021,WV,2323,1979,5,344,,,196,0,,56,,0,,,,,27,133290,106513,326,0,,,,,,124983,,0,2230102,11614,32961,,,,,0,2230102,11614
3/6/2021,WY,682,,0,,1391,1391,21,0,,,182264,0,,,602513,,,54764,46397,0,0,,,,,38993,53550,,0,649293,0,,,,,228661,0,649293,0
3/5/2021,AK,305,,2,,1293,1293,33,3,,,,0,,,1660758,,2,56886,,141,0,,,,,68693,,,0,1731628,7144,,,,,,0,1731628,7144
3/5/2021,AL,10122,7943,28,2179,45976,45976,526,169,2672,,1924758,4223,,,,1514,,498887,391369,811,0,,,,,,295690,,0,2316127,4920,,,119005,,2316127,4920,,0
3/5/2021,AR,5283,4291,10,992,14903,14903,359,27,,153,2472738,8452,,,2472738,1530,86,324326,255365,570,0,,,,81647,,314732,,0,2728103,8874,,,,479119,,0,2728103,8874
3/5/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
3/5/2021,AZ,16269,14339,84,1930,57819,57819,1043,72,,325,3050890,18778,,,,,154,823384,767560,2276,0,,,,,,,,0,7827570,51727,579560,,441664,,3818450,20834,7827570,51727
3/5/2021,CA,53448,,400,,,,4714,0,,1236,,0,,,,,,3493126,3493126,4659,0,,,,,,,,0,49294503,146818,,,,,,0,49294503,146818
3/5/2021,CO,5986,5250,12,736,23863,23863,356,72,,,2193953,5212,366328,,,,,434654,410054,1633,0,61933,,,,,,6343360,33127,6343360,33127,430938,,,,2604007,6312,,0
3/5/2021,CT,7704,6327,11,1377,,,428,0,,,,0,,,6188566,,,285330,265709,830,0,,22245,,,323284,,,0,6520366,41868,,396680,,,,0,6520366,41868
3/5/2021,DC,1027,,3,,,,160,0,,45,,0,,,,,19,41122,,108,0,,,,,,29417,1247637,5821,1247637,5821,,,,,439513,1038,,0
3/5/2021,DE,1453,1317,9,136,,,127,0,,15,542791,1020,,,,,,87874,83187,231,0,,,,,91372,,1417318,3678,1417318,3678,,,,,630665,1251,,0
3/5/2021,FL,32093,,138,,81902,81902,3419,302,,,9296590,26910,864153,816231,16788533,,,1900598,1542400,5876,0,190026,,178979,,2490463,,22186763,106925,22186763,106925,1054711,,995580,,11197188,32786,19371172,77877
3/5/2021,GA,17815,15526,65,2289,56627,56627,2099,115,9236,,,0,,,,,,1019509,826117,2081,0,77232,166895,,,801097,,,0,7315477,35861,480456,1463362,,,,0,7315477,35861
3/5/2021,GU,133,,2,,,,2,0,,1,112887,538,,,,,1,7748,7539,1,0,27,248,,,,7590,,0,120635,539,358,9299,,,,0,120426,539
3/5/2021,HI,443,443,2,,2225,2225,28,0,,5,,0,,,,,3,28561,27753,95,0,,,,,27648,,1136395,5302,1136395,5302,,,,,,0,,0
3/5/2021,IA,5549,,13,,,,176,0,,39,1041604,1549,,93908,2421684,,9,281765,281765,374,0,,60505,19454,57011,305649,318996,,0,1323369,1923,,1381718,113413,246773,1325769,1924,2742341,7564
3/5/2021,ID,1876,1649,0,227,7164,7164,139,20,1242,32,504925,1234,,,,,,172587,139871,299,0,,,,,,95524,,0,644796,1438,,123809,,,644796,1438,1100276,3452
3/5/2021,IL,22946,20700,44,2246,,,1166,0,,263,,0,,,,,121,1194702,,1442,0,,,,,,,,0,18492848,103336,,,,,,0,18492848,103336
3/5/2021,IN,12697,12263,34,434,43104,43104,730,60,7588,123,2473358,4481,,,,,64,665285,,839,0,,,,,758078,,,0,8171222,37626,,,,,3138643,5320,8171222,37626
3/5/2021,KS,4812,,-4,,9387,9387,235,32,2554,50,974686,5035,,,,411,22,295861,,752,0,,,,,,,,0,1270547,5787,,602322,,,1270547,5787,2525259,21021
3/5/2021,KY,4754,4311,22,443,19380,19380,606,16,4023,179,,0,,,,,76,409345,313491,905,0,9894,37518,,,251729,48038,,0,3969899,15260,111829,506024,,,,0,3969899,15260
3/5/2021,LA,9716,9007,30,709,,,538,0,,,5241101,18643,,,,,77,433045,371994,518,0,,,,,,415954,,0,5674146,19161,,466494,,,,0,5613095,19007
3/5/2021,MA,16322,15992,26,330,19713,19713,716,0,,180,4388938,8907,,,,,109,588209,556307,1899,0,,,15425,,664893,508745,,0,16628614,106263,,,156185,574434,4945245,10584,16628614,106263
3/5/2021,MD,7930,7748,8,182,35378,35378,849,74,,229,3024949,6829,,169779,,,,385678,385678,913,0,,,28360,,470625,9701,,0,8024078,41728,,,198139,,3410627,7742,8024078,41728
3/5/2021,ME,704,681,-1,23,1560,1560,74,11,,27,,0,14232,,,,10,45452,35636,225,0,869,10587,,,41262,12833,,0,1644587,11279,15113,209745,,,,0,1644587,11279
3/5/2021,MI,16601,15610,12,991,,,866,0,,222,,0,,,9833789,,97,654380,594765,1791,0,,,,,750946,541258,,0,10584735,46112,535084,,,,,0,10584735,46112
3/5/2021,MN,6534,6261,13,273,25938,25938,224,42,5352,57,3043308,7310,,,,,,488170,463969,796,0,,,,,,474175,7058033,34207,7058033,34207,,444689,,,3507277,7978,,0
3/5/2021,MO,8158,,8,,,,1019,0,,202,1872325,3724,126530,,4001529,,135,479966,479966,430,0,24695,83209,,,529982,,,0,4541067,16593,151424,892648,135245,362075,2352291,4154,4541067,16593
3/5/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,144,144,0,0,,,,,,29,,0,17573,0,,,,,17542,0,26131,0
3/5/2021,MS,6783,4724,19,2059,9162,9162,445,0,,99,1459374,0,,,,,53,296745,183930,591,0,,,,,,278162,,0,1756119,591,81986,748339,,,,0,1642348,0
3/5/2021,MT,1379,,4,,4610,4610,67,2,,12,,0,,,,,7,100656,95509,125,0,,,,,,97541,,0,1096913,5391,,,,,,0,1096913,5391
3/5/2021,NC,11446,10125,47,1321,,,1226,0,,314,,0,,,,,,870149,758115,2093,0,,,,,,,,0,9650184,44487,,798257,,,,0,9650184,44487
3/5/2021,ND,1478,,0,,3875,3875,22,0,567,3,305910,312,,,,,,100278,94866,94,0,,,,,,98164,1422537,2917,1422537,2917,,154678,,,406188,406,1533007,4170
3/5/2021,NE,2112,,20,,6226,6226,143,69,,,769232,1102,,,2173557,,,202310,,337,0,,,,,235280,156510,,0,2411545,7859,,,,,972080,1441,2411545,7859
3/5/2021,NH,1178,,0,,1126,1126,90,-1,348,,577690,445,,,,,,76422,53755,244,0,,,,,,73004,,0,1481488,7047,39484,201268,37863,,631445,619,1481488,7047
3/5/2021,NJ,23521,21124,30,2397,65254,65254,1881,1117,,389,10186941,90590,,,,,223,806370,715889,3701,0,,,,,,,,0,10993311,94291,,,,,,0,10902830,96433
3/5/2021,NM,3787,,18,,13229,13229,183,14,,,,0,,,,,,186460,,304,0,,,,,,153376,,0,2757994,19260,,,,,,0,2757994,19260
3/5/2021,NV,5020,,15,,,,393,0,,88,1127378,2124,,,,,49,295460,295460,391,0,,,,,,,2754332,8024,2754332,8024,,,,,1422838,2515,,0
